2026-03-16T21:42:23.829 | CLIENT | ERROR | Invalid target IP
2026-03-16T21:42:32.167 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-16T21:42:36.338 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T00:33:17.005 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T00:34:32.816 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T00:37:03.452 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T00:38:35.870 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T00:41:16.246 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T00:43:15.368 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T00:43:31.549 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T00:45:57.052 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T00:47:52.638 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T00:50:21.153 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T00:52:10.254 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T00:52:17.292 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T00:52:19.016 | CLIENT | Function Call | Calling Packet::serialize()
2026-03-17T00:52:19.016 | CLIENT | Function Call | Calling Packet::serialize()
2026-03-17T00:52:19.016 | CLIENT | Function Call | Calling Packet::serialize()
2026-03-17T01:01:28.876 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T01:01:32.252 | CLIENT | START | Packet::serialize()
2026-03-17T01:01:32.252 | CLIENT | END | Packet::serialize()
2026-03-17T01:03:16.553 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T01:09:10.762 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T01:09:12.770 | CLIENT | START | Packet::serialize()
2026-03-17T01:09:12.770 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [
2026-03-17T01:09:12.770 | CLIENT | END | Packet::serialize()
2026-03-17T01:09:12.770 | CLIENT | START | Packet::serialize()
2026-03-17T01:09:12.770 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [
2026-03-17T01:09:12.770 | CLIENT | END | Packet::serialize()
2026-03-17T01:09:12.770 | CLIENT | START | Packet::serialize()
2026-03-17T01:09:12.771 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [
2026-03-17T01:09:12.771 | CLIENT | END | Packet::serialize()
2026-03-17T01:16:48.148 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T01:21:47.618 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
2026-03-17T01:21:49.970 | CLIENT | START | Packet::serialize()
2026-03-17T01:21:49.970 | CLIENT | INFO | Packet::serialize() - seq: 0 - payload: [ 0x68 0x65 ]
2026-03-17T01:21:49.970 | CLIENT | END | Packet::serialize()
2026-03-17T01:21:49.970 | CLIENT | START | Packet::serialize()
2026-03-17T01:21:49.970 | CLIENT | INFO | Packet::serialize() - seq: 16777216 - payload: [ 0x6c 0x6c ]
2026-03-17T01:21:49.970 | CLIENT | END | Packet::serialize()
2026-03-17T01:21:49.970 | CLIENT | START | Packet::serialize()
2026-03-17T01:21:49.970 | CLIENT | INFO | Packet::serialize() - seq: 33554432 - payload: [ 0x6f ]
2026-03-17T01:21:49.971 | CLIENT | END | Packet::serialize()
2026-03-18T20:50:39.036 | CLIENT | CONNECTED | target=127.0.0.1:8888 - timeout=10 - max_retries=3
