2026-03-16T21:42:42.057 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-18T20:55:05.858 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-18T21:04:56.338 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-18T22:11:05.589 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-18T22:32:16.824 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-20T23:41:13.996 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-20T23:57:36.478 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-20T23:58:43.552 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-20T23:59:33.246 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-21T00:43:11.675 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-21T00:49:09.702 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-21T00:49:21.955 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-21T16:36:45.381 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-21T16:46:43.746 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-21T16:46:48.999 | SERVER | PACKET RECEIVED | SEQUENCE: 0 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [he]
2026-03-21T16:46:48.999 | SERVER | PACKET RECEIVED | SEQUENCE: 1 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [ll]
2026-03-21T16:46:49.000 | SERVER | PACKET RECEIVED | SEQUENCE: 2 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [oè]
2026-03-21T16:46:49.000 | SERVER | MESSAGE CONSTRUCTED | Received message: hello
2026-03-21T16:46:49.000 | SERVER | CLEAR RECEIVE QUEUE | receive_queue size: 0
2026-03-21T16:51:58.251 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-21T16:52:13.297 | SERVER | VALID PACKET RECEIVED | SEQUENCE: 0 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [he]
2026-03-21T16:52:13.297 | SERVER | SENDING ACK | Sending ack with seq: 0
2026-03-21T16:52:13.297 | SERVER | VALID PACKET RECEIVED | SEQUENCE: 1 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [ll]
2026-03-21T16:52:13.298 | SERVER | SENDING ACK | Sending ack with seq: 1
2026-03-21T16:52:13.298 | SERVER | VALID PACKET RECEIVED | SEQUENCE: 2 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [o]
2026-03-21T16:52:13.298 | SERVER | SENDING ACK | Sending ack with seq: 2
2026-03-21T16:52:13.298 | SERVER | MESSAGE CONSTRUCTED | Received message: hello
2026-03-21T16:52:13.298 | SERVER | CLEAR RECEIVE QUEUE | receive_queue size: 0
2026-03-21T17:48:20.338 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-21T17:48:22.632 | SERVER | VALID PACKET RECEIVED | SEQUENCE: 0 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [he]
2026-03-21T17:48:22.632 | SERVER | SENDING ACK | Sending ack with seq: 0
2026-03-21T17:48:22.632 | SERVER | VALID PACKET RECEIVED | SEQUENCE: 1 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [ll]
2026-03-21T17:48:22.632 | SERVER | SENDING ACK | Sending ack with seq: 1
2026-03-21T17:48:22.633 | SERVER | VALID PACKET RECEIVED | SEQUENCE: 2 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [oö]
2026-03-21T17:48:22.633 | SERVER | SENDING ACK | Sending ack with seq: 2
2026-03-21T17:48:22.633 | SERVER | MESSAGE CONSTRUCTED | Received message: hello
2026-03-21T17:48:22.633 | SERVER | CLEAR RECEIVE QUEUE | receive_queue size: 0
2026-03-21T17:50:31.074 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-21T17:50:35.702 | SERVER | VALID PACKET RECEIVED | SEQUENCE: 0 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [he]
2026-03-21T17:50:35.702 | SERVER | SENDING ACK | Sending ack with seq: 0
2026-03-21T17:50:35.702 | SERVER | VALID PACKET RECEIVED | SEQUENCE: 1 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [ll]
2026-03-21T17:50:35.703 | SERVER | SENDING ACK | Sending ack with seq: 1
2026-03-21T17:50:35.703 | SERVER | VALID PACKET RECEIVED | SEQUENCE: 2 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [o~]
2026-03-21T17:50:35.703 | SERVER | SENDING ACK | Sending ack with seq: 2
2026-03-21T17:50:35.703 | SERVER | MESSAGE CONSTRUCTED | Received message: hello
2026-03-21T17:50:35.703 | SERVER | CLEAR RECEIVE QUEUE | receive_queue size: 0
2026-03-21T17:52:36.154 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-21T17:52:42.778 | SERVER | VALID PACKET RECEIVED | SEQUENCE: 0 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [he]
2026-03-21T17:52:42.778 | SERVER | SENDING ACK | Sending ack with seq: 0
2026-03-21T17:52:42.778 | SERVER | VALID PACKET RECEIVED | SEQUENCE: 1 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [ll]
2026-03-21T17:52:42.778 | SERVER | SENDING ACK | Sending ack with seq: 1
2026-03-21T17:52:42.778 | SERVER | VALID PACKET RECEIVED | SEQUENCE: 2 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [oK]
2026-03-21T17:52:42.778 | SERVER | SENDING ACK | Sending ack with seq: 2
2026-03-21T17:52:42.778 | SERVER | MESSAGE CONSTRUCTED | Received message: hello
2026-03-21T17:52:42.778 | SERVER | CLEAR RECEIVE QUEUE | receive_queue size: 0
2026-03-21T17:54:39.284 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-21T17:54:42.238 | SERVER | VALID PACKET RECEIVED | SEQUENCE: 0 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [he]
2026-03-21T17:54:42.238 | SERVER | SENDING ACK | Sending ack with seq: 0
2026-03-21T17:54:42.239 | SERVER | VALID PACKET RECEIVED | SEQUENCE: 1 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [ll]
2026-03-21T17:54:42.239 | SERVER | SENDING ACK | Sending ack with seq: 1
2026-03-21T17:54:42.239 | SERVER | VALID PACKET RECEIVED | SEQUENCE: 2 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [o;]
2026-03-21T17:54:42.239 | SERVER | SENDING ACK | Sending ack with seq: 2
2026-03-21T17:54:42.239 | SERVER | MESSAGE CONSTRUCTED | Received message: hello
2026-03-21T17:54:42.239 | SERVER | CLEAR RECEIVE QUEUE | receive_queue size: 0
2026-03-21T17:58:04.466 | SERVER | STARTED | Listening on 127.0.0.1:8888
2026-03-21T17:58:06.904 | SERVER | VALID PACKET RECEIVED | SEQUENCE: 0 - MESSAGE LEN: 5 - PAYLOAD SIZE: 2 - PAYLOAD MSG CHARS: [he]
